id,section_data_set_id,structure_id,sum_pixels,sum_expressing_pixels,sum_pixel_intensity,sum_expressing_pixel_intensity,expression_density,expression_energy,voxel_energy_mean,voxel_energy_cv
254943068,79556696,118,339138,38433.4,16371000,5524520,0.113327,16.2899,16.2402,0.144018
254952797,79556696,17031,1245040,86314.8,49501900,12862000,0.0693268,10.3306,9.96348,0.268526
254946771,79556696,10703,16353400,1563360,772330000,272876000,0.0955984,16.6861,16.6957,0.472526
254947470,79556696,15701,404083,44948.1,18145700,6771850,0.111235,16.7586,16.7171,0.241447
254943127,79556696,143,380184,34802.9,14308800,5260940,0.0915424,13.8379,13.821,0.282274
254943434,79556696,231,21441.7,2316.85,1005010,348936,0.108054,16.2737,0,0
254946173,79556696,1004,530110,76999.5,30051300,11710600,0.145252,22.0908,22.0031,0.20424
254946229,79556696,1026,826503,71954.9,36678200,10618800,0.0870595,12.8479,12.8074,0.17338
254954037,79556696,17490,443234,55719.2,26274900,9213440,0.125711,20.7868,20.7753,0.220003
254949235,79556696,16126,24750800,2614750,1203240000,462158000,0.105643,18.6725,18.9109,0.40918
254954216,79556696,111220880,104161,11045.9,5638830,1796260,0.106047,17.245,17.242,0.186664
254954233,79556696,112892325,34969,5268.06,2166000,852141,0.150649,24.3685,0,0
254954064,79556696,17525,3344890,301653,141825000,45593300,0.0901832,13.6307,13.6453,0.240598
254954236,79556696,124372440,34969,1648.09,1143150,239103,0.0471299,6.83758,0,0
254945460,79556696,797,7579100,858901,362580000,130145000,0.113325,17.1716,17.5148,0.257658
254946227,79556696,1025,15282200,740935,902192000,130968000,0.0484835,8.56997,8.66943,0.567748
254947550,79556696,15738,540293000,60768500,28533400000,9819330000,0.112473,18.1741,18.2421,0.410867
254950238,79556696,16366,1425290,119777,56143500,19212700,0.0840365,13.4798,13.3842,0.209353
254948159,79556696,15882,187190,11853.5,7918850,1716570,0.0633229,9.1702,9.11423,0.36936
254949242,79556696,16131,13346200,1410680,653914000,244952000,0.105699,18.3536,18.4968,0.366405
