Region,NTG-1M,NTG-1M,NTG-1M,NTG-1M,G20-1M,G20-1M,G20-1M,NTG-3M,NTG-3M,NTG-3M,NTG-3M,NTG-3M,NTG-3M,NTG-3M,NTG-3M,G20-3M,G20-3M,G20-3M,G20-3M,G20-3M,G20-3M,G20-3M,NTG-6M,NTG-6M,NTG-6M,NTG-6M,NTG-6M,NTG-6M,G20-6M,G20-6M,G20-6M,G20-6M,G20-6M,NTG-9M,NTG-9M,NTG-9M,NTG-9M,NTG-9M,NTG-9M,G20-9M,G20-9M,G20-9M,G20-9M
cLS,0.000379692,0.001330583,0.000277806,0.003862,0.00026634,0.000220717,0,0.004372985,0.013450635,0.001265175,0.006328545,0.001511485,0.004212445,0.003335765,0,0.00299245,0.002499215,0.0038754,0.00140275,0.005820225,0.001682155,0.00202612,0.05685,0.01243782,0.0400382,0.00988732,0.0261305,0.03782865,0.01927845,0.02241329,0.019384,0.1088433,0.0438895,0.04082305,0.05122165,0.1257565,0.0931947,0.088353,0.0396187,0.1147945,0.06476695,0.05428565,0.1125794
cMS,0,0.00388581,0,0,0,0,0,0.021704405,0.01356262,0.00733552,0.0349498,0.012290705,0.0164111,0.007494045,0.02694738,0.010917355,0.012939175,0.0141247,0.005731515,0.0650935,0.00738571,0.029935065,0.383871,0.1539065,0.347216,0.17469445,0.144103,0.270887,1.85996,0.1291099,0.4364785,0.2877625,0.218543,0.347702,0.3313425,0.6016535,0.5080905,0.721916,0.374524,0.5353235,0.577639,0.35255,0.526813
cACB,0.001321494,0.000176172,0.00642215,0.0005625,0,0.000626563,0.00067999,0.002199285,4.24387E-05,0.00070944,0.001346256,0.000311367,0.00166617,0.000726995,0.00005065,0,0.000216016,0.000332019,0.000475184,0.000148,0.000286298,0.001310795,6.65605E-05,0.004780586,0.000201063,0,0.000446806,0.00077412,5.71465E-05,0.002033455,0.000664332,0.001362189,0.000166507,0.002060575,0.003633349,0.002802538,0.002838744,0.001192535,0.00121324,0.000366733,0.001403106,0.000717031,0.001451195
cSI,0.000175458,0.000175457,0,0.0001755,0,0,0,0.018619,0.001190755,0,0,0.000161966,0.000603715,0.000154169,0.001848725,0,0.001384025,0,0.000686955,0.00298662,0.001985835,0.00398605,0.004766565,0.0021622,0.007962255,0.000989146,0.020574685,0.02957004,0.001652508,0.00138383,0.00343364,0.01525,0.009380655,0.004534286,0.006234205,0.03601525,0.0242935,0.0409409,0.01530075,0.01290843,0.03052205,0.0487384,0.0292247
cOT,0.000120376,0,0.000623041,0,0.000237011,0.000890893,0,0,0.000346833,0.000097506,0.002312465,0.002641085,0.004865509,0.012049772,0.000333664,0,0.000265266,0.0005335,0.001078015,0.01467635,0.01018341,0,0.000812559,0.003027975,0.000811485,0.0012984,0.00301563,0.00222666,0.003200165,0.000726975,0.00170437,0.008217925,0.000681976,0.000182474,0.001601812,0.008366495,0.001656965,0.000882356,0.002663235,0.001536235,0.008848875,0.00201816,0.002711235
iRSP,0.003528759,0.001630824,0.002520552,0.002035981,0.009027899,0.012106375,0.002613026,0.01720401,0.006122757,0.007326208,0.075809551,0.015737769,0.087215703,0.042810623,0.003608735,0.780981508,0.02149761,0.011762513,0.115653691,0.067319727,0.006646774,0.019669433,0.11482205,0.069702688,1.809606713,1.265557294,1.012625238,1.005921188,0.157892388,0.80467975,0.523341563,0.026363086,0.475756021,1.081247375,0.261686375,0.190937125,0.171617875,0.380323563,0.88671475,0.330859688,1.513288,0.1631588,0.725176713
iSSp-bfd,0.000445035,0.001182945,9.48495E-05,0.000314208,0.001558007,0.00142082,0.003988405,0.000486744,0.000071952,0.00092574,0.00626962,0.001449327,0.002143625,0.0053167,0.0121346,0.00368748,0.002320781,0.004921585,0.004099975,0.001241782,0.00699732,0.008170485,0.1520388,0.008582,0.0142465,0.02472161,0.000332961,0.1328385,0.016307865,0.0189433,0.0720036,0.00752468,0.001065735,0.13069035,0.10306095,0.0721896,0.0127531,0.011828075,0.1388395,0.0756248,0.08442905,0.009111065,0.005661545
iVISC,0,0.000189,0,0.00038265,0,0.003633455,0.000694329,0.000238668,0.000226995,0.000108512,0,0.000110871,0.00589665,0.000484377,0,0.001043721,0.001209985,0.000836995,0.000480401,0,0.001945205,0.000160465,0.01033105,0.01579475,0.0334883,0.00714965,0.00051703,0.04276785,0.018195245,0.008462014,0.021659665,0.0083188,0.00270828,0.0622508,0.01990735,0.0477034,0.0608886,0.05282855,0.0199474,0.009764685,0.0546663,0.0195926,0.00880056
iAIp,0,0.000222557,0.002873715,0,0,0,0,0,0,0,0,0.000483758,0.004194985,0,0.00109866,0.001147085,0.00596796,0.071789,0.00102248,0,0.000868708,0.000670883,0.01754015,0.00216748,0.005270245,0.004954905,0.01076572,0.02299305,0.01224931,0.00235242,0.011681855,0.02159515,0.021948365,0.02339585,0.01448275,0.022337,0.0341603,0.0243409,0.04499795,0.01750665,0.09303625,0.05143305,0.012765355
iEP,0,0.00254,0,0,0,0.000282319,0,0,0,0.004112795,0,0,0.005087735,0,0,0.000632735,0.000633125,0,0.00536635,0.000316476,0,0,0.000680188,0.000316492,0.001970675,0.000316366,0,0.002217054,0.013833704,0.000328634,0.00066607,0.0161423,0.00411672,0.00285103,0.00210141,0.001584419,0.004581975,0.006221205,0.0144861,0.01345427,0.0386643,0.00861811,0.005245555
iCA1,0.001977485,0.000490108,0.001532155,0.000281712,0.001535195,0.004293265,0.001115838,0.037423839,0.006308038,0.057738892,0.554946428,0.286549243,0.180377405,0.031317105,0.019462759,0.099765407,0.212026378,0.047455343,0.04512431,0.290902585,0.035250133,0.071897217,0.2932591,0.260375167,0.25311705,0.197816583,0.234218,0.22617145,0.161925383,0.141962367,0.2621323,0.3698975,0.225383367,0.4657265,0.518251833,0.465426333,0.475681667,0.389618833,0.257432,0.524597,0.722252667,0.606771333,0.642681833
iCA2,0.0085381,0,0.010000975,0.015569998,0.01265,0.011687733,0.017199385,1.43750622,0.0260722,0.171510455,0.339714805,0.655706178,0.439266,0.0634289,0.004171395,0.1203855,0.886285325,0.1854555,0.023450405,0.14753895,0.01622775,0.028319565,1.05804855,0.15477375,0.190652425,0.37784015,0.10623405,0.741048025,0.137405725,0.227286588,0.39409107,0.28549125,0.2468505,0.53201365,0.76309935,0.80466075,0.617451,1.15927575,0.45695075,0.66391925,1.6527429,0.43065375,0.44009825
iCA3,0.042617943,0.012969645,0.018395633,0.028161522,0.035871517,0.030595017,0.029047267,1.702775,0.50168115,0.611504167,2.888761333,1.364801667,3.201996333,0.44781155,0.480450033,0.132330333,0.845361033,0.831072517,0.114819173,0.6120887,0.52339205,0.8822164,2.737977333,6.01376,4.573867333,2.565772667,2.2833505,1.9656425,2.396299833,3.527325,4.83966,3.567505,2.09412,4.526355,2.94524,4.628836667,4.941116667,3.355106667,3.731598333,5.067865,5.561645,3.539698333,5.636271667
iDG,0.021288134,0.005082946,0.013433295,0.004069125,0.004049463,0.040448483,0.014609943,5.386651667,3.861356367,3.993904333,13.28426633,6.711761743,7.13332905,0.7572002,0.363558667,4.048997,7.885757117,2.7365897,0.424314452,11.190718,0.3054615,1.314497333,2.069732667,5.343179167,3.111924167,1.037077833,2.172488333,1.925965,1.255038,3.973881167,2.425045167,5.024685,4.520387,4.103864167,2.707745,4.883123333,5.921445,2.545918333,3.551578833,3.993188333,4.89704,3.263611833,3.910343333
iLD,0.00224769,0.000835,0.0230856,0.00070008,0.003541405,0.002794585,0,0.0003875,0.006787496,0.001644165,0.000259707,0,0.000248841,0.001544096,0.000242256,0.003259936,0.000344874,0.00053668,0,0.000578283,0.000548465,0.001097605,0.01074841,0.00195429,0.015072,0.0050923,0.012707165,0.1600075,0.007592585,0.005248715,0.005152896,0.00287943,0.00082189,0.01725936,0.00241434,0.06909165,0.004026365,0.0075024,0.243123,0.0212893,0.0189994,0.03882315,0.05868395
iMD,0.001924915,0.00171399,0.000073,0.0004394,0.00109,0.000258655,0.00296331,0,0.00801712,7.76485E-05,0.002145795,0.000673435,0.002143091,0.000740245,0,0.001188045,8.28985E-05,0,0.000295382,0.004250175,0,0.001055934,0.001055846,0.00253019,0.000527412,0.002129571,0.000161227,0.1337945,0.000203489,0,0.000498261,0.00157942,0.000808435,0.0026276,0.00262889,0.003182775,0.005135055,0.001160975,0.001842799,0.004923147,0.022050545,0.002330505,0.00488662
iVAL,0.00653405,0.004483118,0.002527505,0.00145136,0.00612639,0.00242031,0.000959756,0.000322156,0.000533711,0.000459902,0.000997774,0,0.000640159,0.00216668,0.000845901,0.000722798,0.000125809,0.007916865,0.000682107,0.000417744,0.001858075,0.000807542,0.005242745,0.000914852,0.002877645,0.004990875,0.000337383,0.004645595,0.00210105,0.00996092,0.00923902,0.00213516,0.00408105,0.001542575,0.00277402,0.01158598,0.01605724,0.001500775,0.00992127,0.0040759,0.00652897,0.006889035,0.008287085
iSMT,0.00909596,0.00259818,0.000866504,0.000974427,0.000878035,0,0,0.001407732,0.001191245,0.000217056,0,0.00338143,0.000324888,0.000433238,0,0.007721164,0.011367465,0.0043369,0,0.001493255,0.00083458,0.000193769,0.00585911,0.00584575,0.059536355,0.0350098,0,0.07004755,0.003472545,0.02403685,0.009240863,0.007597233,0.005600135,0.005889645,0.00393929,0.00939593,0.01094568,0.00054012,0.03643525,0.0493484,0.046521205,0.04633056,0.114691
iHY,0.003241477,0.0000675,0,0.001713745,0.000213029,0.000070014,0.000350282,0.00130126,0.0054693,0.004450975,0,0.000290529,0.00691441,0.00351532,0.00077463,0.0070184,0.006268605,0.00552631,0.000233929,0.003360585,0.000517945,0.001818905,0.04669725,0.0621253,0.0681458,0.03837265,0.0202619,0.05496975,0.0273645,0.0706446,0.02727125,0.0259922,0.07678095,0.07576305,0.0462162,0.1447145,0.0769503,0.04953055,0.0626088,0.0883637,0.133922,0.07469685,0.147928
iGP,0.02131955,0.01033115,0.000729105,0.00109385,0.006745515,0.002798285,0.00423052,0,0.000129251,0.000333508,0,0.001933865,0.0014905,0.00158847,0.001676313,0.00288279,0.001562831,0,0.000387615,0.001256045,0.002514914,0.002015959,0.00501773,0.008488087,0,0.00330613,0.00051599,0.002192062,0.00365301,0,0.0072789,0.000374236,0,0.0171075,0.0165062,0.00231875,0.001121502,0,0.00109985,0.0305758,0.0043972,0.004786825,0.00193092
