id,section_data_set_id,structure_id,sum_pixels,sum_expressing_pixels,sum_pixel_intensity,sum_expressing_pixel_intensity,expression_density,expression_energy,voxel_energy_mean,voxel_energy_cv
189550424,3,343,548600000,53752200,20672100000,7782120000,0.0979807,14.1854,14.175,0.335511
189566687,3,16870,244783,28732.6,10141500,4132300,0.11738,16.8815,16.8815,0.129113
189571109,3,111220882,868428,90623.2,34201400,13861700,0.104353,15.9618,15.9272,0.275478
189553528,3,642,1012350,64548.4,31673000,10331500,0.063761,10.2054,9.48192,0.551466
189549434,3,88,3461910,440948,147433000,59438900,0.127371,17.1694,17.1694,0.153318
189549941,3,291,19581600,2609140,858106000,394443000,0.133245,20.1436,20.1431,0.188878
189559084,3,15799,2745730,245873,93839100,34492800,0.0895472,12.5623,12.4925,0.486053
189560936,3,15995,2238020,287676,97171500,41240000,0.128541,18.427,18.427,0.169401
189570766,3,111220658,1818390,145899,66293600,22247300,0.0802351,12.2346,12.2346,0.267085
189553272,3,616,1433730,147244,55769200,21032900,0.1027,14.6701,14.6701,0.187621
189562543,3,16122,2797520,252574,106181000,40188700,0.0902851,14.3658,14.3658,0.394252
189549520,3,120,1642830,218754,68757000,33752400,0.133157,20.5452,20.5455,0.176364
189571140,3,111220904,874131,91167.9,36177400,13554000,0.104295,15.5057,15.506,0.290918
189556846,3,1067,847474,38225,18128600,5601110,0.0451047,6.60919,6.2292,0.659571
189564290,3,16520,4196280,446427,166859000,60433300,0.106386,14.4016,14.4016,0.195585
189549169,3,44,7937960,982093,336079000,133119000,0.123721,16.7699,16.7699,0.162041
189557693,3,15568,24769400,2021980,754690000,279754000,0.0816318,11.2943,11.2782,0.582403
189563152,3,16273,34969,2789.62,1147550,390554,0.079774,11.1686,0,0
189553572,3,647,8447760,815364,265559000,122689000,0.0965183,14.5233,14.459,0.543535
189561221,3,16023,11679300,1540210,489244000,227495000,0.131875,19.4785,19.4785,0.232959
189570156,3,17547,1188850,128104,50963600,18967900,0.107755,15.9548,15.955,0.254583
